time,open,high,low,close,tick_volume,spread
2026-07-27 06:05:00,1.275,1.27537,1.27481,1.275,1168,0.000167
2026-07-27 06:10:00,1.275,1.27545,1.27361,1.27391,1883,0.000154
2026-07-27 06:15:00,1.27391,1.27424,1.27283,1.27309,1850,0.00017
2026-07-27 06:20:00,1.27309,1.27342,1.27271,1.27299,1309,0.000175
2026-07-27 06:25:00,1.27299,1.27338,1.27099,1.27142,1912,0.000158
2026-07-27 06:30:00,1.27142,1.27225,1.2712,1.27193,1876,0.000152
2026-07-27 06:35:00,1.27193,1.27313,1.2714,1.27275,713,0.000161
2026-07-27 06:40:00,1.27275,1.27296,1.27213,1.27245,1543,0.000174
2026-07-27 06:45:00,1.27245,1.27279,1.27069,1.27099,1554,0.000178
2026-07-27 06:50:00,1.27099,1.27134,1.27002,1.27036,1198,0.000154
2026-07-27 06:55:00,1.27036,1.27091,1.26991,1.27046,1426,0.000161
2026-07-27 07:00:00,1.27046,1.27162,1.26995,1.27156,1771,0.000157
2026-07-27 07:05:00,1.27156,1.27199,1.27048,1.2709,1118,0.000164
2026-07-27 07:10:00,1.2709,1.27142,1.27026,1.27048,1219,0.000176
2026-07-27 07:15:00,1.27048,1.27095,1.27038,1.27064,788,0.000164
2026-07-27 07:20:00,1.27064,1.27127,1.27036,1.27076,930,0.000151
2026-07-27 07:25:00,1.27076,1.27147,1.2705,1.27101,1129,0.00016
2026-07-27 07:30:00,1.27101,1.27118,1.27018,1.27024,1524,0.000177
2026-07-27 07:35:00,1.27024,1.27038,1.26924,1.26956,2027,0.00015
2026-07-27 07:40:00,1.26956,1.27021,1.26918,1.27001,2141,0.000152
2026-07-27 07:45:00,1.27001,1.27032,1.26983,1.27018,1886,0.000166
2026-07-27 07:50:00,1.27018,1.27089,1.26992,1.27057,1922,0.000173
2026-07-27 07:55:00,1.27057,1.27151,1.27035,1.27134,924,0.000161
2026-07-27 08:00:00,1.27134,1.27156,1.27014,1.27024,1919,0.000158
2026-07-27 08:05:00,1.27024,1.27089,1.27013,1.27059,1349,0.000171
2026-07-27 08:10:00,1.27059,1.27214,1.27029,1.27184,1858,0.00016
2026-07-27 08:15:00,1.27184,1.2726,1.27129,1.27142,1948,0.000168
2026-07-27 08:20:00,1.27142,1.27167,1.27027,1.27065,1203,0.000155
2026-07-27 08:25:00,1.27065,1.27072,1.27041,1.27068,1700,0.000176
2026-07-27 08:30:00,1.27068,1.27112,1.26983,1.27012,1393,0.000151
2026-07-27 08:35:00,1.27012,1.27058,1.2694,1.2695,1034,0.000168
2026-07-27 08:40:00,1.2695,1.26952,1.26925,1.26945,1143,0.000174
2026-07-27 08:45:00,1.26945,1.27026,1.26901,1.27008,2203,0.000165
2026-07-27 08:50:00,1.27008,1.27083,1.26964,1.27082,2254,0.000153
2026-07-27 08:55:00,1.27082,1.2715,1.27058,1.27121,1203,0.000179
2026-07-27 09:00:00,1.27121,1.27152,1.27042,1.27056,1548,0.000179
2026-07-27 09:05:00,1.27056,1.27156,1.27022,1.27129,1016,0.000169
2026-07-27 09:10:00,1.27129,1.27211,1.27095,1.27172,1989,0.000153
2026-07-27 09:15:00,1.27172,1.27292,1.27154,1.27244,1353,0.00017
2026-07-27 09:20:00,1.27244,1.2727,1.27196,1.27229,1765,0.000172
2026-07-27 09:25:00,1.27229,1.27247,1.27139,1.27187,1771,0.000179
2026-07-27 09:30:00,1.27187,1.27221,1.27061,1.27093,1218,0.000157
2026-07-27 09:35:00,1.27093,1.27132,1.27054,1.27091,958,0.000175
2026-07-27 09:40:00,1.27091,1.27161,1.27041,1.27126,358,0.000168
2026-07-27 09:45:00,1.27126,1.27153,1.27075,1.27119,1588,0.000168
2026-07-27 09:50:00,1.27119,1.27176,1.27067,1.27097,1109,0.000161
2026-07-27 09:55:00,1.27097,1.27173,1.2707,1.27164,1454,0.000159
2026-07-27 10:00:00,1.27164,1.27282,1.27111,1.27244,1386,0.000162
2026-07-27 10:05:00,1.27244,1.27302,1.27199,1.27236,696,0.000176
2026-07-27 10:10:00,1.27236,1.27273,1.27173,1.27186,1743,0.000153
2026-07-27 10:15:00,1.27186,1.27215,1.2708,1.27104,2060,0.000169
2026-07-27 10:20:00,1.27104,1.2711,1.26989,1.27015,1974,0.000167
2026-07-27 10:25:00,1.27015,1.27029,1.2695,1.26998,1272,0.00017
2026-07-27 10:30:00,1.26998,1.2701,1.26857,1.2688,1554,0.000174
2026-07-27 10:35:00,1.2688,1.26918,1.26763,1.2679,1618,0.000166
2026-07-27 10:40:00,1.2679,1.26811,1.26555,1.26603,1941,0.000165
2026-07-27 10:45:00,1.26603,1.26681,1.26584,1.26658,1897,0.000164
2026-07-27 10:50:00,1.26658,1.2671,1.26574,1.26578,2216,0.000165
2026-07-27 10:55:00,1.26578,1.26601,1.26488,1.26512,304,0.000151
2026-07-27 11:00:00,1.26512,1.26536,1.26464,1.26495,1965,0.000154
2026-07-27 11:05:00,1.26495,1.26539,1.26462,1.2652,1476,0.000168
2026-07-27 11:10:00,1.2652,1.2656,1.26268,1.26303,1582,0.00018
2026-07-27 11:15:00,1.26303,1.26343,1.26259,1.2632,845,0.000178
2026-07-27 11:20:00,1.2632,1.26346,1.26274,1.26309,1526,0.000167
2026-07-27 11:25:00,1.26309,1.26346,1.26166,1.262,2398,0.000166
2026-07-27 11:30:00,1.262,1.26225,1.26034,1.26076,2249,0.000153
2026-07-27 11:35:00,1.26076,1.26111,1.26052,1.26085,1166,0.000166
2026-07-27 11:40:00,1.26085,1.26113,1.25806,1.25842,1185,0.000156
2026-07-27 11:45:00,1.25842,1.25935,1.25808,1.25923,2182,0.000169
2026-07-27 11:50:00,1.25923,1.25961,1.25773,1.25809,1560,0.000166
2026-07-27 11:55:00,1.25809,1.25871,1.25665,1.25677,1769,0.00015
2026-07-27 12:00:00,1.25677,1.25744,1.25676,1.25697,1342,0.000172
2026-07-27 12:05:00,1.25697,1.25717,1.25585,1.25645,973,0.000165
2026-07-27 12:10:00,1.25645,1.25737,1.2559,1.25691,1581,0.00018
2026-07-27 12:15:00,1.25691,1.25748,1.25656,1.25703,1664,0.000156
